CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
63254,NX44SE 4,Cruggleton Castle,"Castle (Medieval), Motte (Medieval), Settlement (Period Unassigned), Tower House (Medieval)",248427,542816,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,SORBIE,NX 48427 42816,http://canmore.org.uk/site/63254
63406,NX45SW 31,Bladnoch,Unidentified Flint(S) (Flint),241800,554000,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,KIRKINNER,NX 418 540,http://canmore.org.uk/site/63406
63572,NX47NE 2,Loch Dee,"Lithic Implement (Chert), Unidentified Flint(S) (Flint)",247200,579000,DUMFRIES AND GALLOWAY,KIRKCUDBRIGHTSHIRE,MINNIGAFF,NX 472 790,http://canmore.org.uk/site/63572
63590,NX49NE 1,"Loch Doon, Donald's Isle",Settlement (Medieval),249430,596550,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 4943 9655,http://canmore.org.uk/site/63590
63593,NX49NE 3,Loch Doon,Microlith(S) (Flint),249300,595000,DUMFRIES AND GALLOWAY,KIRKCUDBRIGHTSHIRE,CARSPHAIRN,NX 493 950,http://canmore.org.uk/site/63593
63595,NX49NE 5,Loch Doon,Unidentified Flint(S) (Flint),249500,599500,EAST AYRSHIRE,AYRSHIRE,DALMELLINGTON,NX 495 995,http://canmore.org.uk/site/63595
63596,NX49NE 6,Loch Doon,Unidentified Flint(S) (Flint),249600,599700,EAST AYRSHIRE,AYRSHIRE,DALMELLINGTON,NX 496 997,http://canmore.org.uk/site/63596
63597,NX49NE 7,Loch Doon,Unidentified Flint(S) (Flint),249600,599800,EAST AYRSHIRE,AYRSHIRE,DALMELLINGTON,NX 496 998,http://canmore.org.uk/site/63597
63598,NX49NE 8,Loch Doon,Unidentified Flint(S) (Flint),249800,599800,EAST AYRSHIRE,AYRSHIRE,DALMELLINGTON,NX 498 998,http://canmore.org.uk/site/63598
63599,NX49NE 9,Loch Doon,Unidentified Flint(S) (Flint),249900,599600,EAST AYRSHIRE,AYRSHIRE,DALMELLINGTON,NX 499 996,http://canmore.org.uk/site/63599
63607,NX49SE 17,Loch Doon 12,Unidentified Flint(S) (Flint),247900,594100,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 479 941,http://canmore.org.uk/site/63607
63608,NX49SE 18,Loch Doon,Unidentified Flint(S) (Flint),248100,594100,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 481 941,http://canmore.org.uk/site/63608
63609,NX49SE 19,Loch Doon 14,Unidentified Flint(S) (Flint),248300,593900,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 483 939,http://canmore.org.uk/site/63609
63611,NX49SE 20,Loch Doon 16,Unidentified Flint(S) (Flint),248400,593600,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 484 936,http://canmore.org.uk/site/63611
63612,NX49SE 21,Loch Doon 17,Unidentified Flint(S) (Flint),248200,592700,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 482 927,http://canmore.org.uk/site/63612
63613,NX49SE 22,Loch Doon 18,Unidentified Flint(S) (Flint),248200,592800,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 482 928,http://canmore.org.uk/site/63613
63615,NX49SE 4,Loch Head,Field Boundary (Period Unassigned),248340,592480,DUMFRIES AND GALLOWAY,KIRKCUDBRIGHTSHIRE,CARSPHAIRN,NX 4834 9248,http://canmore.org.uk/site/63615
63617,NX49SE 6,Loch Doon,Arrowhead (Flint),,,DUMFRIES AND GALLOWAY,KIRKCUDBRIGHTSHIRE,CARSPHAIRN,NX  ,http://canmore.org.uk/site/63617
63618,NX49SE 7,Loch Doon,Unidentified Flint(S) (Flint),248500,594900,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 485 949,http://canmore.org.uk/site/63618
63619,NX49SE 8,Loch Doon,Unidentified Flint(S) (Flint),248400,594800,EAST AYRSHIRE,AYRSHIRE,STRAITON (CUMNOCK AND DOON VALLEY),NX 484 948,http://canmore.org.uk/site/63619
